Date,Adj Close,Close,High,Low,Open,Volume,代码,名称,Adj Close,Close,High,Low,Open,Volume,Adj Close,Close,High,Low,Open,Volume,Adj Close,Close,High,Low,Open,Volume,Adj Close,Close,High,Low,Open,Volume,Adj Close,Close,High,Low,Open,Volume,Adj Close,Close,High,Low,Open,Volume,Adj Close,Close,High,Low,Open,Volume,Adj Close,Close,High,Low,Open,Volume
,HSI,HSI,HSI,HSI,HSI,HSI,,,SPY,SPY,SPY,SPY,SPY,SPY,QQQ,QQQ,QQQ,QQQ,QQQ,QQQ,IWM,IWM,IWM,IWM,IWM,IWM,VTI,VTI,VTI,VTI,VTI,VTI,GLD,GLD,GLD,GLD,GLD,GLD,USO,USO,USO,USO,USO,USO,TLT,TLT,TLT,TLT,TLT,TLT,AGG,AGG,AGG,AGG,AGG,AGG
2020-09-02,,,,,,,GLD,黄金ETF,,,,,,,,,,,,,,,,,,,,,,,,,182.6199951171875,182.6199951171875,183.86000061035156,181.5,183.75,11536900.0,,,,,,,,,,,,,,,,,,
2020-09-02,25120.099609375,25120.099609375,25120.099609375,25120.099609375,25120.099609375,0.0,HSI,恒生指数,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-02,,,,,,,IWM,罗素2000指数ETF,,,,,,,,,,,,,148.90341186523438,158.4600067138672,158.97999572753906,156.17999267578125,157.9600067138672,16763400.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-02,,,,,,,QQQ,纳斯达克100指数ETF,,,,,,,293.9934997558594,302.760009765625,303.5,296.8900146484375,303.2799987792969,50836800.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-02,,,,,,,SPY,标普500指数ETF,333.06103515625,357.70001220703125,358.75,353.42999267578125,354.6700134277344,69540000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-02,,,,,,,TLT,20年以上美国国债ETF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143.46827697753906,165.4199981689453,165.55999755859375,163.49000549316406,163.50999450683594,15167700.0,,,,,,
2020-09-02,,,,,,,USO,原油ETF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.860000610351562,29.860000610351562,30.600000381469727,29.59000015258789,30.579999923706055,7281600.0,,,,,,,,,,,,
2020-09-02,,,,,,,VTI,美国全市场ETF,,,,,,,,,,,,,,,,,,,168.47386169433594,181.24000549316406,181.6699981689453,179.00999450683594,180.0,4021900.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-03,,,,,,,AGG,美国综合债券ETF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.36538696289062,118.69000244140625,118.87000274658203,118.62000274658203,118.7300033569336,6856700.0
2020-09-03,,,,,,,GLD,黄金ETF,,,,,,,,,,,,,,,,,,,,,,,,,181.13999938964844,181.13999938964844,182.82000732421875,180.49000549316406,182.3000030517578,12148100.0,,,,,,,,,,,,,,,,,,
